Epoch, Batch, D Loss, G Loss
167, 400, 1.3077, 0.8724
168, 0, 1.2833, 1.0390
168, 200, 1.3723, 0.7724
168, 400, 1.2333, 0.9093
169, 0, 1.2105, 1.0300
169, 200, 1.4342, 0.8540
169, 400, 1.2196, 0.9753
170, 0, 1.1540, 0.8747
170, 200, 1.3236, 0.8059
170, 400, 1.2184, 1.0469
171, 0, 1.2459, 0.9084
171, 200, 1.3661, 0.8609
171, 400, 1.2893, 0.8530
172, 0, 1.2126, 0.9922
172, 200, 1.3083, 0.8742
172, 400, 1.1667, 0.8646
173, 0, 1.3464, 0.9239
173, 200, 1.3058, 0.8473
173, 400, 1.2937, 0.7921
174, 0, 1.1729, 0.9660
174, 200, 1.1475, 0.9929
174, 400, 1.1995, 0.9580
175, 0, 1.2725, 0.8671
175, 200, 1.2695, 0.8922
175, 400, 1.3257, 0.8371
176, 0, 1.2658, 0.7798
176, 200, 1.2875, 0.8999
176, 400, 1.2071, 0.9842
177, 0, 1.2965, 0.9072
177, 200, 1.1723, 0.9684
177, 400, 1.3539, 1.0100
178, 0, 1.2131, 0.8770
178, 200, 1.2909, 0.9431
178, 400, 1.3778, 0.7864
179, 0, 1.1895, 1.0796
179, 200, 1.2390, 1.0004
179, 400, 1.3788, 0.8748
180, 0, 1.3817, 0.8626
180, 200, 1.1933, 0.8182
180, 400, 1.1849, 0.8854
181, 0, 1.2558, 0.8486
181, 200, 1.2664, 0.9040
181, 400, 1.3750, 0.9059
182, 0, 1.1906, 0.9321
182, 200, 1.2035, 0.9153
182, 400, 1.2493, 0.8886
183, 0, 1.3044, 0.8934
183, 200, 1.2919, 0.9339
183, 400, 1.2649, 0.8565
184, 0, 1.2825, 0.9184
184, 200, 1.2986, 0.9642
184, 400, 1.2962, 0.8191
185, 0, 1.2796, 0.8166
185, 200, 1.2808, 0.8292
185, 400, 1.2319, 0.8714
186, 0, 1.0971, 1.0214
186, 200, 1.3675, 0.8809
186, 400, 1.2154, 0.8758
187, 0, 1.3222, 0.9257
187, 200, 1.2952, 0.8513
187, 400, 1.1960, 0.8295
188, 0, 1.1784, 0.8868
188, 200, 1.3963, 0.7911
188, 400, 1.3441, 0.8870
189, 0, 1.2381, 0.8939
189, 200, 1.2399, 0.7732
189, 400, 1.3501, 0.7765
190, 0, 1.3756, 0.8568
190, 200, 1.3184, 0.7390
190, 400, 1.4378, 0.7576
191, 0, 1.2302, 0.9188
191, 200, 1.2820, 0.9413
191, 400, 1.2450, 0.8618
192, 0, 1.2947, 0.9489
192, 200, 1.3627, 0.8305
192, 400, 1.2657, 0.9218
193, 0, 1.4329, 0.6971
193, 200, 1.2949, 0.8504
193, 400, 1.2240, 0.8984
194, 0, 1.2280, 1.0866
194, 200, 1.2502, 0.9391
194, 400, 1.3824, 0.8585
195, 0, 1.3324, 0.7824
195, 200, 1.2225, 0.9050
195, 400, 1.4067, 0.8807
196, 0, 1.2423, 0.8425
196, 200, 1.2774, 0.8471
196, 400, 1.2687, 0.9469
197, 0, 1.2739, 0.8774
197, 200, 1.2674, 1.0921
197, 400, 1.3071, 0.7616
198, 0, 1.2143, 0.9166
198, 200, 1.3121, 0.8833
198, 400, 1.2228, 0.8218
199, 0, 1.2079, 0.9949
199, 200, 1.3631, 0.8897
199, 400, 1.2491, 0.8985
200, 0, 1.3348, 0.8684
200, 200, 1.2543, 0.9369
200, 400, 1.2785, 0.8585
